iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,cost_mean,cost_std,cost_max,cost_min,rollout_success,alpha,time_vpg,time_npg,kl_dist,surr_improvement,surr_cost_improvement,running_score,success_rate,average_cost,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success,eval_avg_cost
0,10.994584560394287,-2.1597585517469557,11.320501297221998,73.59892365629193,-8.255414917930349,0.0,0.0,0,0,0.0,0.0,0.08340215682983398,1.8512139320373535,0.0,0.0,0.0,-2.1597585517469557,0.0,0.0,40000,1.0712218284606934,0.9992773176349077,0.7896938583740187,-4.380441301191137,0.0,0.0
1,10.26307725906372,-0.3031450523117034,38.64352797039958,525.5166709464701,-11.688281854273239,0.0,0.0,0,0,0.0,0.0,0.07784247398376465,1.8944485187530518,0.0,0.0,0.0,-1.9740972018034306,0.0,0.0,40000,7.725402116775513,0.9649441661886385,0.9246735646899447,-4.380441301191137,0.0,0.0
2,10.259078025817871,-2.127565259222158,9.811324132791446,74.85901347713249,-8.179534242188712,0.0,0.0,0,0,0.0,0.0,0.07561993598937988,1.7848100662231445,0.0,0.0,0.0,-1.9894440075453033,0.0,0.0,40000,13.171319007873535,1.455382006591431,0.823693237453698,-4.380441301191137,0.0,0.0
3,10.265938758850098,-1.7344925338741666,23.24074957028552,304.842415767835,-8.934355363043375,0.0,0.0,0,0,0.0,0.0,0.07724738121032715,1.8008580207824707,0.0,0.0,0.0,-1.9639488601781898,0.0,0.0,40000,13.093374013900757,0.9266135249186196,0.8046133096154836,-4.380441301191137,0.0,0.0
4,10.264487504959106,-2.012147298677216,11.18349151437723,83.71459742016438,-7.685931817275623,0.0,0.0,0,0,0.0,0.0,0.07759523391723633,1.8630759716033936,0.0,0.0,0.0,-1.9687687040280926,0.0,0.0,40000,12.528920888900757,0.8924287762353322,0.6513849049122926,-4.380441301191137,0.0,0.0
5,10.161500692367554,-2.3165501845243863,11.999471843588399,105.36400683904277,-8.353286270868747,0.0,0.0,0,0,0.0,0.0,0.07692909240722656,1.8147170543670654,0.0,0.0,0.0,-2.003546852077722,0.0,0.0,40000,12.304909229278564,0.7519047620982541,0.6893171192030024,-4.380441301191137,0.0,0.0
6,10.365431070327759,-3.869833225005814,6.302205255769899,47.44114925634052,-9.74164468529772,0.0,0.0,0,0,0.0,0.0,0.07458782196044922,1.8827276229858398,0.0,0.0,0.0,-2.1901754893705316,0.0,0.0,40000,12.110893249511719,0.8281974365966595,0.6410720055433692,-4.380441301191137,0.0,0.0
7,10.05875539779663,0.39797941691912825,39.111045580913874,485.572943323184,-9.556340884480152,0.0,0.0,0,0,0.0,0.0,0.07538533210754395,1.8636398315429688,0.0,0.0,0.0,-1.9313599987415657,0.0,0.0,40000,11.751528978347778,0.9720885015697422,0.8846293156618968,-4.380441301191137,0.0,0.0
8,10.161602020263672,-3.265225234635365,9.144635270053685,76.57441612611818,-7.800161717245148,0.0,0.0,0,0,0.0,0.0,0.08063435554504395,1.7624781131744385,0.0,0.0,0.0,-2.0647465223309456,0.0,0.0,40000,11.366425514221191,1.4346968624720695,0.7045553872950042,-4.380441301191137,0.0,0.0
9,10.06141471862793,-4.14032896369317,4.038481718540388,26.572197136558295,-7.959629524288777,0.0,0.0,0,0,0.0,0.0,0.07540082931518555,1.8304083347320557,0.0,0.0,0.0,-2.272304766467168,0.0,0.0,40000,11.189213275909424,0.8428368430578316,0.5808626486141274,-4.380441301191137,0.0,0.0
10,10.199636220932007,-2.2213221680698707,11.297012694401825,74.03165181339611,-10.57617735687654,0.0,0.0,0,0,0.0,0.0,0.07402873039245605,1.7960524559020996,0.0,0.0,0.0,-2.2672065066274385,0.0,0.0,40000,11.110870361328125,0.8629861718440283,0.5476488930584369,-4.380441301191137,0.0,0.0
11,10.201989650726318,-2.9588110691192275,9.925605178600563,80.16735521364835,-10.935283085592122,0.0,0.0,0,0,0.0,0.0,0.07558107376098633,1.7820568084716797,0.0,0.0,0.0,-2.3363669628766175,0.0,0.0,40000,11.378172874450684,0.7833064613175231,0.5216725595357832,-4.380441301191137,0.0,0.0
12,10.471576690673828,-3.262194174766955,7.859778974815558,64.55764014249225,-7.822608573448715,0.0,0.0,0,0,0.0,0.0,0.07609891891479492,1.7649874687194824,0.0,0.0,0.0,-2.4289496840656515,0.0,0.0,40000,10.906587839126587,0.6749797629198249,0.5982336233745686,-4.380441301191137,0.0,0.0
13,10.159633874893188,-3.743970854558056,6.436565922969576,48.61009714483236,-8.444825481738501,0.0,0.0,0,0,0.0,0.0,0.07303690910339355,1.7824277877807617,0.0,0.0,0.0,-2.5604518011148922,0.0,0.0,40000,10.73141884803772,0.6752163954088428,0.574057493105187,-4.380441301191137,0.0,0.0
14,9.967300415039062,-2.677134985711537,9.634851064549704,73.89712755182514,-8.409190653006348,0.0,0.0,0,0,0.0,0.0,0.07954287528991699,1.7733831405639648,0.0,0.0,0.0,-2.572120119574557,0.0,0.0,40000,11.115709066390991,0.7088845659889497,0.5930766352850925,-4.380441301191137,0.0,0.0
15,10.170840501785278,-3.2889543668281562,9.710619387084071,86.81797795703831,-9.96865175618738,0.0,0.0,0,0,0.0,0.0,0.07573103904724121,1.7602019309997559,0.0,0.0,0.0,-2.6438035442999173,0.0,0.0,40000,11.170957088470459,0.6697554312970639,0.4936718852411604,-4.380441301191137,0.0,0.0
16,10.148014783859253,-1.9168221834600023,22.90286545971008,305.8821889336534,-9.297282893948886,0.0,0.0,0,0,0.0,0.0,0.0819089412689209,1.7941045761108398,0.0,0.0,0.0,-2.5711054082159257,0.0,0.0,40000,11.266802310943604,0.9849922894057084,0.8367543542444961,-4.380441301191137,0.0,0.0
17,10.399558782577515,-2.3219202803000956,10.355004225677654,62.884930382973536,-8.093522158730146,0.0,0.0,0,0,0.0,0.0,0.07753586769104004,1.8412659168243408,0.0,0.0,0.0,-2.5461868954243427,0.0,0.0,40000,10.493228912353516,0.8809649617696188,0.5662963325942342,-4.380441301191137,0.0,0.0
18,10.069740295410156,-2.2245838596011493,18.587322686889166,194.0857360004168,-8.467821708535578,0.0,0.0,0,0,0.0,0.0,0.0777277946472168,1.881066083908081,0.0,0.0,0.0,-2.5140265918420237,0.0,0.0,40000,9.785990476608276,0.8667446778873069,0.697101573389372,-4.380441301191137,0.0,0.0
19,10.208174705505371,-0.08940889899705909,40.58845070800227,543.8313785824724,-11.188570458064978,0.0,0.0,0,0,0.5,0.0,0.07437801361083984,1.879831075668335,0.0,0.0,0.0,-2.271564822557527,0.5,0.0,40000,10.788474559783936,0.8559546755006772,0.6723567139737988,-4.380441301191137,0.0,0.0
20,10.161965608596802,-4.2420127307135225,3.976991493065193,40.520477162605694,-8.52552406665488,0.0,0.0,0,0,0.0,0.0,0.07798504829406738,1.8648316860198975,0.0,0.0,0.0,-2.468609613373127,0.0,0.0,40000,11.169085502624512,4.630982468833535,0.6203856552035015,-4.380441301191137,0.0,0.0
21,10.19832968711853,-3.035218302299945,15.483545125129694,192.08259100275546,-8.098935618274133,0.0,0.0,0,0,0.0,0.0,0.0789327621459961,1.7898399829864502,0.0,0.0,0.0,-2.5252704822658085,0.0,0.0,40000,10.419948101043701,0.9658408642066098,0.7313256304066447,-4.380441301191137,0.0,0.0
22,10.259743452072144,-3.616024999133276,7.856401095807983,80.60506992871646,-8.93836594577468,0.0,0.0,0,0,0.0,0.0,0.0749213695526123,1.847395658493042,0.0,0.0,0.0,-2.6343459339525555,0.0,0.0,40000,10.39697003364563,1.0958051783396026,0.5510486444052012,-4.380441301191137,0.0,0.0
23,10.515711545944214,-3.309163570455538,7.538352926003326,50.06309926775611,-8.197465315547845,0.0,0.0,0,0,0.0,0.0,0.0755302906036377,1.9438910484313965,0.0,0.0,0.0,-2.701827697602854,0.0,0.0,40000,10.37903380393982,0.9817001348875579,0.7241073942913322,-4.380441301191137,0.0,0.0
24,10.168075323104858,-3.583556325125094,7.468774296560747,64.21981648180775,-8.358771094081527,0.0,0.0,0,0,0.0,0.0,0.07430076599121094,1.847102403640747,0.0,0.0,0.0,-2.790000560355078,0.0,0.0,40000,9.679605722427368,0.708048962314813,0.6196281631380391,-4.380441301191137,0.0,0.0
25,10.362960577011108,-4.049149684887324,5.979323342249892,55.015639869116846,-10.510647311022272,0.0,0.0,0,0,0.0,0.0,0.07302188873291016,1.785583257675171,0.0,0.0,0.0,-2.9159154728083028,0.0,0.0,40000,9.34215784072876,0.6674534949918656,0.5654623760072147,-4.380441301191137,0.0,0.0
